fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
16,2,LightGBM,4.077444276547289,4.905467882130699,-0.5885745933992488,0.008412750001298264,0.0002534580016799737,854,13,2006-12-17,2007-03-12
17,2,Persistence (baseline),6.769230769230769,7.775701798650618,0.20209276901452455,0.0,0.0,867,13,2007-03-19,2007-06-11
17,2,XGBoost,5.928142070770264,7.173128011319731,0.3209677991655646,0.013825459001964191,0.00024354199922527187,867,13,2007-03-19,2007-06-11
17,2,LightGBM,5.902593848743318,7.120207903236245,0.33095002819638997,0.008428665998508222,0.000253415997576667,867,13,2007-03-19,2007-06-11
18,2,Persistence (baseline),12.153846153846153,17.47965850748983,0.6192147724255921,0.0,0.0,880,13,2007-06-18,2007-09-10
18,2,XGBoost,15.556156892042894,20.15468294992063,0.49374870672548143,0.014295917000708869,0.0002470840008754749,880,13,2007-06-18,2007-09-10
18,2,LightGBM,15.909270236599825,22.811589456370317,0.35147712688496247,0.00851637499727076,0.00025608299984014593,880,13,2007-06-18,2007-09-10
19,2,Persistence (baseline),19.0,26.911535987950767,0.6965839510151466,0.0,0.0,893,13,2007-09-17,2007-12-10
19,2,XGBoost,19.365203857421875,33.986824126084144,0.5160697781403198,0.01395691700236057,0.00025091700081247836,893,13,2007-09-17,2007-12-10
19,2,LightGBM,18.802005821331285,28.135410108944352,0.6683591064782357,0.008624916001281235,0.0002581249973445665,893,13,2007-09-17,2007-12-10
20,2,Persistence (baseline),2.769230769230769,3.328201177351375,0.6193574623830826,0.0,0.0,906,13,2007-12-17,2008-03-11
20,2,XGBoost,3.0431409432337833,3.8152309515328873,0.4998044247484065,0.01397558300232049,0.00024137500076903962,906,13,2007-12-17,2008-03-11
20,2,LightGBM,3.1923354972272007,3.941671968693271,0.4661009624676279,0.008221000000048662,0.00024662500072736293,906,13,2007-12-17,2008-03-11
0,4,Persistence (baseline),2.769230769230769,3.6584990617212663,-1.098330241187384,0.0,0.0,646,13,2002-12-17,2003-03-12
0,4,XGBoost,2.280367557819073,2.845731012624219,-0.2695670355841402,0.019250665998697514,0.0002760419993137475,646,13,2002-12-17,2003-03-12
0,4,LightGBM,2.5349855203578575,2.9716094506848316,-0.38436753333070484,0.008370833998924354,0.0002520829984860029,646,13,2002-12-17,2003-03-12
1,4,Persistence (baseline),2.5384615384615383,3.584153156068229,-0.31735436893203883,0.0,0.0,659,13,2003-03-19,2003-06-11
1,4,XGBoost,2.340926537146935,3.3389985540750504,-0.14330462206036532,0.019123417001537746,0.0002709580003283918,659,13,2003-03-19,2003-06-11
1,4,LightGBM,2.260766381164652,3.303911883457471,-0.11940285254071781,0.008544167001673486,0.00025275000007241033,659,13,2003-03-19,2003-06-11
2,4,Persistence (baseline),5.6923076923076925,6.373020054525532,0.16026425250795195,0.0,0.0,672,13,2003-06-18,2003-09-10
2,4,XGBoost,6.221273275522085,7.20894879783053,-0.07447410424350864,0.01897629100130871,0.0002691670015337877,672,13,2003-06-18,2003-09-10
2,4,LightGBM,5.471581890535943,6.224808886320519,0.1988679326602253,0.008537124998838408,0.0002595000005385373,672,13,2003-06-18,2003-09-10
3,4,Persistence (baseline),5.461538461538462,6.366982137438548,0.14018574297188757,0.0,0.0,685,13,2003-09-17,2003-12-10
3,4,XGBoost,5.216229071983924,6.396028641645847,0.13232281337557372,0.01909120799973607,0.00026729200180852786,685,13,2003-09-17,2003-12-10
3,4,LightGBM,5.464475115100179,6.411239112561625,0.12819103966160195,0.008517749996826751,0.0002548749980633147,685,13,2003-09-17,2003-12-10
4,4,Persistence (baseline),4.769230769230769,5.629592142625227,-0.08729192042224931,0.0,0.0,698,13,2003-12-17,2004-03-11
4,4,XGBoost,4.289990205031175,4.977212820556773,0.15010608588542707,0.01903400000082911,0.0002666670006874483,698,13,2003-12-17,2004-03-11
4,4,LightGBM,4.112706458853738,4.894259106440914,0.1781998574978506,0.008503165998263285,0.00024954100081231445,698,13,2003-12-17,2004-03-11
5,4,Persistence (baseline),3.3846153846153846,4.076197322920545,-0.09601873536299754,0.0,0.0,711,13,2004-03-18,2004-06-10
5,4,XGBoost,3.178532233605018,3.791739993609675,0.051614996770293686,0.01901233299940941,0.000269124997430481,711,13,2004-03-18,2004-06-10
5,4,LightGBM,3.280782486317537,3.831791428435742,0.031473958577407535,0.008744582999497652,0.00025158300195471384,711,13,2004-03-18,2004-06-10
6,4,Persistence (baseline),5.538461538461538,6.9724733499228675,-1.3261608154020381,0.0,0.0,724,13,2004-06-17,2004-09-09
6,4,XGBoost,4.486219626206618,5.753338865809909,-0.5838203481647124,0.019165666999469977,0.00026658299975679256,724,13,2004-06-17,2004-09-09
6,4,LightGBM,4.553089387039074,5.6887367861486515,-0.5484517926193855,0.008738790998904733,0.0002528340010030661,724,13,2004-06-17,2004-09-09
7,4,Persistence (baseline),6.461538461538462,8.00960961307392,-0.8822916666666667,0.0,0.0,737,13,2004-09-16,2004-12-09
7,4,XGBoost,5.519621482262244,7.7571344002672085,-0.7654964693652264,0.019173459000739967,0.0002688329986995086,737,13,2004-09-16,2004-12-09
